代码,名称,PER,PBR,時価総額,営業利益率,ROA,ROE,セクター,業種,配当利回り,EPS,更新日
2162,nms Holdings Corporation,,1.8439049,8505927680.0,2.5250000000000004,2.7449999,-15.869,Technology,Electronic Components,455.99999999999994,-40.61,20260216
2163,"Artner Co., Ltd.",16.03567,4.4112773,21781993472.0,12.57,17.565,28.535998000000003,Industrials,Staffing & Employment Services,418.0,127.84,20260216
2164,"Chiikishinbunsha Co.,Ltd.",131.13553,14.841839,2681845248.0,-3.8609999999999998,-9.951,-135.309,Communication Services,Publishing,,2.73,20260216
2168,Pasona Group Inc.,41.135902,0.5869968,75749580800.0,0.471,-0.35499998,-3.4849998,Industrials,Staffing & Employment Services,75.0,-142.09,20260216
2169,"CDS Co.,Ltd.",13.690965,1.4073371,12514037760.0,5.210999999999999,3.9,5.1269997,Technology,Software - Application,403.0,134.03,20260216
2170,Link and Motivation Inc.,36.52174,4.4570704,58148990976.0,-2.416,7.084,12.942,Industrials,Consulting Services,292.0,14.95,20260216
2173,Hakuten Corporation,13.687894,3.6975284,15315135488.0,8.7139994,,,Communication Services,Advertising Agencies,242.0,71.45,20260216
2175,"SMS Co., Ltd.",19.82359,3.2458153,143887024128.0,-3.504,5.7140004,15.786,Healthcare,Health Information Services,168.0,88.43,20260216
2179,"Seigakusha Co.,Ltd.",9.823799,1.0502304,4515988992.0,17.977,5.4229997,11.934000000000001,Consumer Defensive,Education & Training Services,272.0,82.86,20260216
2180,SUNNY SIDE UP GROUP Inc.,15.844074,2.8057518,14756660224.0,12.243,13.588999,31.308000000000003,Communication Services,Advertising Agencies,324.0,63.62,20260216
2181,"Persol Holdings Co.,Ltd.",14.05655,2.5791152,543441584128.0,4.3309998,7.043000000000001,19.106,Industrials,Staffing & Employment Services,424.0,17.33,20260216
2183,"Linical Co., Ltd.",13.319149,1.2471014,7069553152.0,-38.726002,-6.084,-26.568002,Healthcare,Biotechnology,516.0,-52.51,20260216
2185,CMC Corporation,11.193666,1.0901161,23725340672.0,14.466999999999999,7.457,11.298,Technology,Information Technology Services,298.0,164.2,20260216
2186,Sobal Corporation,17.480915,1.6318823,7206387200.0,8.857000600000001,6.202,8.484,Technology,Software - Application,360.0,52.4,20260216
2193,Cookpad Inc.,15.828093,0.8639729,11008322560.0,4.861,1.133,5.589,Communication Services,Internet Content & Information,,9.54,20260216
2195,"Amita Holdings Co.,Ltd.",17.93933,2.048483,6020497408.0,10.3549995,3.818,10.813,Industrials,Waste Management,292.0,19.12,20260216
2196,Escrit Inc.,45.135136,0.57590574,2255908608.0,11.8760005,-0.656,-9.972,Consumer Cyclical,Personal Services,,-33.18,20260216
2198,IKK Holdings Inc.,11.834755,1.9266623,23423938560.0,16.73,5.485,17.277001,Consumer Cyclical,Personal Services,299.0,68.02,20260216
2201,"Morinaga&Co., Ltd.",13.962752,1.7532144,235594563584.0,10.468,6.2090002,14.996,Consumer Defensive,Confectioners,236.0,200.82,20260216
2204,"Nakamuraya Co., Ltd.",24.320673,0.7421347,18713219072.0,-23.627001,,,Consumer Defensive,Packaged Foods,218.00000000000003,133.22,20260216
2206,"Ezaki Glico Co., Ltd.",73.95531,1.34194,372939292672.0,-0.296,1.4149999,1.8450000000000002,Consumer Defensive,Packaged Foods,164.0,79.21,20260216
2207,"Meito Co., Ltd.",12.33213,0.6869209,42079399936.0,2.98,0.9570000000000001,5.481,Consumer Defensive,Confectioners,273.0,207.75,20260216
2208,Bourbon Corporation,14.86493,1.1486732,74091864064.0,8.297,4.4109996,8.568000000000001,Consumer Defensive,Confectioners,140.0,206.19,20260216
2209,"Imuraya Group Co., Ltd.",12.597054,1.3320148,32389521408.0,8.3680004,5.2330000000000005,10.2060005,Consumer Defensive,Confectioners,141.0,200.92,20260216
2211,"Fujiya Co., Ltd.",48.160343,1.0572447,64104067072.0,4.9790002,1.804,3.7130002,Consumer Defensive,Confectioners,119.0,51.64,20260216
2212,"Yamazaki Baking Co., Ltd.",16.619936,1.4770452,679193739264.0,4.7829999999999995,4.2529996,8.948,Consumer Defensive,Packaged Foods,170.0,206.86,20260216
2215,"First Baking Co., Ltd.",16.379082,0.49938408,4271744512.0,3.533,1.8170001000000002,3.8540001999999998,Consumer Defensive,Packaged Foods,,37.67,20260216
2216,Kanro Inc.,17.632336,3.1275249,59373150208.0,12.998999999999999,9.35,18.864,Consumer Defensive,Confectioners,223.0,79.91,20260216
2217,Morozoff Limited,25.1614,1.5779189,30096666624.0,-10.341000000000001,3.9600000000000004,4.6350002,Consumer Defensive,Confectioners,107.0,58.86,20260216
2220,"Kameda Seika Co.,Ltd.",3.2441835,0.86992407,87284072448.0,10.364999599999999,,31.041,Consumer Defensive,Packaged Foods,140.0,1276.13,20260216
2221,"Iwatsuka Confectionery Co., Ltd.",16.405497,0.47812614,33186852864.0,8.276,0.675,3.3299996999999997,Consumer Defensive,Confectioners,95.0,197.19,20260216
2222,"Kotobuki Spirits Co., Ltd.",25.385988,6.8854885,307244531712.0,28.95,21.204,29.391000000000002,Consumer Defensive,Confectioners,177.0,78.37,20260216
2224,"Como Co.,Ltd.",,6.2504673,13359521792.0,7.6079994,1.229,3.4840000000000004,Consumer Defensive,Packaged Foods,18.0,-10.67,20260216
2226,KOIKE-YA Inc.,22.375092,2.441495,49445150720.0,7.558,4.776,12.745999999999999,Consumer Defensive,Packaged Foods,118.0,207.15,20260216
2229,"Calbee, Inc.",22.537071,1.81789,373274705920.0,10.778,,,Consumer Defensive,Packaged Foods,215.0,136.22,20260216
2264,"Morinaga Milk Industry Co., Ltd.",34.84588,1.3265502,359577616384.0,6.834999999999999,3.9309999999999996,4.3020000000000005,Consumer Defensive,Packaged Foods,206.99999999999997,127.82,20260216
2266,"Rokko Butter Co., Ltd.",70.62897,0.71561116,23847034880.0,5.63,,,Consumer Defensive,Packaged Foods,163.0,17.33,20260216
2267,"Yakult Honsha Co.,Ltd.",18.809807,1.3632075,789718433792.0,12.033000000000001,3.286,7.872999999999999,Consumer Defensive,Beverages - Non-Alcoholic,247.00000000000003,143.17,20260216
2268,"B-R 31 Ice Cream Co.,Ltd.",23.477602,2.5888956,38784245760.0,-3.3680000000000003,5.954000000000001,12.371001,Consumer Defensive,Food Distribution,149.0,171.44,20260216
2269,"Meiji Holdings Co., Ltd.",23.02918,1.3699963,1046190096384.0,9.472,4.375,6.292000000000001,Consumer Defensive,Packaged Foods,272.0,167.57,20260216
2270,"MEGMILK SNOW BRAND Co.,Ltd.",14.208226,0.9147674,213886943232.0,3.479,2.4920002,9.6499994,Consumer Defensive,Packaged Foods,289.0,247.04,20260216
2281,"Prima Meat Packers, Ltd.",23.866892,1.1614773,142394130432.0,2.5150001,2.1429999,3.721,Consumer Defensive,Packaged Foods,278.0,118.7,20260216
2282,NH Foods Ltd.,21.45588,1.2332593,665069617152.0,4.81,3.1879999999999997,5.9910003000000005,Consumer Defensive,Packaged Foods,229.0,324.34,20260216
2286,"Hayashikane Sangyo Co.,Ltd.",4.488792,0.5111211,6704527360.0,6.098,3.1870000000000003,11.4379995,Consumer Defensive,Packaged Foods,194.0,182.9,20260216
2288,"Marudai Food Co., Ltd.",13.213396,0.7838931,58434039808.0,4.099,3.2939999999999996,6.796,Consumer Defensive,Packaged Foods,273.0,180.65,20260216
2291,"Fukutome Meat Packers, Ltd.",,1.0581331,2145390720.0,-1.117,-3.537,-21.576999,Consumer Defensive,Packaged Foods,,-154.99,20260216
2292,S Foods Inc.,17.932787,0.8024692,100563722240.0,2.707,2.194,6.605999999999999,Consumer Defensive,Farm Products,326.0,177.05,20260216
2293,"Takizawa Ham Co., Ltd.",,1.7062783,6055862784.0,1.087,-1.63,-4.7140002,Consumer Defensive,Packaged Foods,68.0,-212.26,20260216
2294,"Kakiyasu Honten Co., Ltd.",39.427067,1.8889241,27287388160.0,1.0249998999999999,5.056,4.8299997999999995,Consumer Defensive,Food Distribution,299.0,72.26,20260216
2296,Itoham Yonekyu Holdings Inc.,21.48261,1.1831672,351287902208.0,3.1,2.856,5.7579998,Consumer Defensive,Packaged Foods,233.0,288.14,20260216
2300,"Kyokuto Co., Ltd.",76.97947,0.8554515,2762085888.0,2.6069999999999998,5.1459998,7.152,Consumer Cyclical,Personal Services,210.0,6.82,20260216
2301,"Gakujo Co., Ltd.",13.336671,1.6821836,25029908480.0,37.497002,8.595,12.891,Industrials,Staffing & Employment Services,401.99999999999994,139.84,20260216
2303,Dawn Corp.,18.626127,2.801698,7934156288.0,36.777001999999996,12.2889996,15.770000000000001,Technology,Software - Application,98.0,140.77,20260216
2304,"CSS Holdings,Ltd.",8.136348,1.50015,4688812544.0,4.558,6.837999999999999,20.879,Industrials,Specialty Business Services,421.0,116.76,20260216
2305,"STUDIO ALICE Co.,Ltd.",21.381826,1.1187453,33848754176.0,21.837,3.6630000000000003,4.449,Consumer Cyclical,Personal Services,250.99999999999997,93.21,20260216
2307,"Cross Cat Co., Ltd.",10.103549,2.1896808,14066080768.0,13.062999999999999,12.219,23.5,Technology,Software - Application,335.0,99.47,20260216
2311,"EPCO Co.,Ltd.",15.522844,1.5553321,7269618176.0,5.4970004,4.04,9.100999999999999,Industrials,Engineering & Construction,397.0,52.31,20260216
2315,CAICA DIGITAL Inc.,70.4918,3.6033015,14502732800.0,0.369,1.397,6.3,Technology,Information Technology Services,,1.22,20260216
2317,Systena Corporation,18.911917,4.2440214,156565651456.0,17.188999,18.906,32.909,Technology,Information Technology Services,165.0,23.16,20260216
2321,Softfront Holdings,,5.20595,9458685952.0,-36.189997,-3.216,-17.506,Technology,Software - Application,,-2.35,20260216
2323,fonfun corporation,34.833332,2.4289052,8779876352.0,6.78,2.903,6.981,Technology,Information Technology Services,,12.0,20260216
2325,"NJS Co., Ltd.",17.388674,1.5367982,43806314496.0,4.896,6.171,7.976,Industrials,Waste Management,227.0,264.54,20260216
2326,Digital Arts Inc.,22.386753,3.939512,68791762944.0,46.465,13.227001,19.593,Technology,Software - Infrastructure,198.0,228.26,20260216
2327,NS Solutions Corporation,24.977852,2.5003889,670626873344.0,13.116998999999998,6.701,10.735,Technology,Information Technology Services,221.0,146.73,20260216
2329,Tohokushinsha Film Corporation,9.301648,1.015998,87846608896.0,9.581000000000001,2.2399999999999998,16.194001,Communication Services,Entertainment,415.00000000000006,68.59,20260216
2330,"Forside Co.,Ltd.",17.146597,1.8559972,5710627840.0,3.6730002999999996,7.007,15.784999999999998,Consumer Cyclical,Leisure,,7.64,20260216
2331,"Alsok Co.,Ltd.",17.604023,1.5955749,561312694272.0,7.8049995,,,Industrials,Security & Protection Services,254.0,65.61,20260216
2332,"Quest Co., Ltd.",12.485641,1.2594085,9357605888.0,6.107,6.749000400000001,10.808,Technology,Information Technology Services,294.0,139.28,20260216
2334,eole Inc.,,15.94916,13341416448.0,1.9189999999999998,5.258,27.409,Technology,Software - Application,,-16.28,20260216
2335,Cube System Inc.,14.158946,1.4738303,16467117056.0,8.75,,,Technology,Information Technology Services,405.0,76.63,20260216
2337,Ichigo Inc.,10.139212,1.5688838,178164809728.0,17.656,3.148,13.936000000000002,Real Estate,Real Estate Services,263.0,43.1,20260216
2338,"Quantum Solutions Co.,Ltd.",,7.2732825,6581259776.0,-301.493,-13.281,-226.92301,Technology,Information Technology Services,,-11.71,20260216
2340,"Gokurakuyu Holdings Co., Ltd.",21.656334,3.3703914,15401555968.0,1.691,5.963,16.882,Consumer Cyclical,Leisure,,22.58,20260216
2341,"Arbeit-Times Co., Ltd.",,1.2480665,3438422528.0,3.934,2.421,-15.362,Communication Services,Publishing,267.0,-23.75,20260216
2342,Transgenic Group Inc.,,1.0176607,5029272064.0,0.98,-0.168,-14.701,Healthcare,Biotechnology,,-52.78,20260216
2344,"Heian Ceremony Service Co.,Ltd.",13.132658,0.8011718,17491681280.0,17.987000000000002,3.2039999999999997,6.460000000000001,Consumer Cyclical,Personal Services,252.99999999999997,112.62,20260216
2345,"HODL 1,inc.",,8.832999,3771723008.0,-1671.4289,-0.703,-146.961,Technology,Software - Application,,-77.12,20260216
2349,"Nippon Information Development Co., Ltd.",11.210551,1.1100647,26002827264.0,13.791998999999999,6.578,10.467,Technology,Information Technology Services,122.0,212.3,20260216
2351,ASJ Inc.,12.21374,0.91351265,2621432320.0,8.2040004,2.4820002,8.667,Technology,Software - Infrastructure,63.0,27.51,20260216
2353,"NIPPON PARKING DEVELOPMENT Co.,Ltd.",18.770874,5.0444303,89224921088.0,20.953,10.237,27.750000000000004,Industrials,Infrastructure Operations,318.0,14.97,20260216
2354,YE DIGITAL Corporation,16.60079,1.8818802,14225135616.0,11.209,7.7410005,17.979999,Technology,Information Technology Services,252.99999999999997,48.07,20260216
2359,Core Corporation,13.333729,1.6259587,32314759168.0,18.002000000000002,9.794,15.379000000000001,Technology,Information Technology Services,268.0,168.67,20260216
2370,"MEDINET Co., Ltd.",,1.106629,8206603264.0,-157.018,-33.094,-69.344,Healthcare,Biotechnology,,-5.15,20260216
2371,"Kakaku.com, Inc.",16.774837,5.501541,332364939264.0,30.329,20.141001,32.863998,Communication Services,Internet Content & Information,304.0,100.15,20260216
2373,Care Twentyone Corporation,15.752461,1.3686912,6052355072.0,3.2520000000000002,1.5650000000000002,9.699000400000001,Healthcare,Medical Care Facilities,384.0,28.44,20260216
2374,Saint-Care Holding Corporation,17.329138,1.6922411,29884985344.0,4.304,4.8660003,9.844,Healthcare,Medical Care Facilities,248.0,69.94,20260216
2375,GiG Works Inc.,16.484318,1.6041566,4485214208.0,3.7479999999999998,0.124,9.981,Technology,Information Technology Services,90.0,13.71,20260216
2376,Scinex Corporation,29.193289,0.518507,4099435520.0,0.232,1.306,1.7420000000000002,Communication Services,Publishing,202.0,25.04,20260216
2378,"Renaissance,Incorporated",44.63791,1.7271158,21337182208.0,5.0419997,1.332,4.729,Communication Services,Entertainment,115.99999999999999,25.27,20260216
2379,DIP Corporation,13.798067,2.8611429,105313935360.0,19.440001000000002,13.472999999999999,20.087999,Communication Services,Internet Content & Information,471.0,145.89,20260216
2384,"SBS Holdings, Inc.",13.913689,1.695937,164032724992.0,3.1419999999999995,4.008,11.25,Industrials,Integrated Freight & Logistics,518.0,296.83,20260216
2385,Soiken Holdings Inc.,6.4412637,1.126802,6827289600.0,10.31,2.792,2.863,Healthcare,Biotechnology,380.0,-8.05,20260216
2388,"Wedge Holdings CO.,LTD.",,0.9656024,2589760000.0,-26.5,-1.752,-16.610001,Industrials,Conglomerates,,-5.34,20260216
2389,"Digital Holdings, Inc.",19.77134,1.3056232,37463871488.0,3.2039999999999997,1.048,5.633,Communication Services,Advertising Agencies,229.0,101.46,20260216
2391,"Planet, Inc.",20.892563,1.4842021,8381293056.0,21.761,5.878,7.649,Technology,Information Technology Services,348.0,60.5,20260216
2393,"Nippon Care Supply Co., Ltd.",18.251038,2.0947654,37619970048.0,9.567001,6.957000000000001,12.474,Industrials,Rental & Leasing Services,297.0,132.65,20260216
2395,"Shin Nippon Biomedical Laboratories, Ltd.",15.012518,1.322394,69899853824.0,15.221000000000002,1.25899995,7.981000000000001,Healthcare,Diagnostics & Research,290.0,111.84,20260216
2404,"Tetsujin Holdings, Inc.",19.920792,7.6191344,6720111104.0,0.46900003,3.8629998,108.42099,Consumer Cyclical,Lodging,,25.25,20260216
2408,"KG Intelligence CO., LTD.",22.11772,0.8864289,5336301056.0,26.180999999999997,4.048,5.618,Communication Services,Publishing,523.0,32.96,20260216
2410,"Career Design Center Co., Ltd.",11.736105,2.9672482,12954021888.0,8.0979995,14.485000000000001,27.259,Industrials,Staffing & Employment Services,511.00000000000006,209.78,20260216
2411,Gendai Agency Inc.,11.182995,1.4036391,5324000256.0,8.836999500000001,7.553,11.951,Communication Services,Advertising Agencies,505.99999999999994,43.28,20260216
2413,"M3, Inc.",24.23794,2.6628559,1109103345664.0,27.822999999999997,7.6069996,12.472,Healthcare,Health Information Services,129.0,67.58,20260216
2415,"Human Holdings Co., Ltd.",6.8016653,0.99568594,18649198592.0,3.929,4.063,14.421000000000001,Consumer Defensive,Education & Training Services,382.0,264.2,20260216
2418,TSUKADA GLOBAL HOLDINGS Inc.,6.954794,0.8906408,33142550528.0,24.826999,4.735,12.3409994,Consumer Cyclical,Personal Services,209.0,100.65,20260216
2424,Brass Corporation,8.098001,0.8415523,3340119040.0,-5.1370002,2.717,5.6129999999999995,Consumer Cyclical,Personal Services,127.0,77.55,20260216
2425,"Care Service Co.,Ltd.",11.527336,1.0611359,3023174912.0,-0.303,6.6129999999999995,11.739001,Healthcare,Medical Care Facilities,278.0,69.14,20260216
2428,Wellnet Corporation,11.763672,1.4238496,12441756672.0,14.321999,2.4619998,11.8590005,Technology,Software - Infrastructure,446.0,56.87,20260216
2429,"World Holdings Co., Ltd.",7.044954,0.9781096,48651153408.0,3.8829996999999996,3.757,14.243001,Industrials,Staffing & Employment Services,1059.0,385.95,20260216
